season,celebrityname,wiki_title,pageid,cutoff_start_utc,edits_start_to_cutoff,cutoff_end_utc,edits_end_to_cutoff,edits_change,status_start,status_end,notes
15,Bristol Palin,Bristol Palin,19134078,2012-09-17T00:00:00Z,1495.0,2012-11-28T00:00:00Z,1511,16,ok,ok,nan
15,Drew Lachey,Drew Lachey,2063909,2012-09-17T00:00:00Z,328.0,2012-11-28T00:00:00Z,346,18,ok,ok,nan
15,Emmitt Smith,Emmitt Smith,154857,2012-09-17T00:00:00Z,2129.0,2012-11-28T00:00:00Z,2162,33,ok,ok,nan
15,Gilles Marini,Gilles Marini,21462703,2012-09-17T00:00:00Z,229.0,2012-11-28T00:00:00Z,240,11,ok,ok,nan
15,Helio Castroneves,Hélio Castroneves,345352,2012-09-17T00:00:00Z,809.0,2012-11-28T00:00:00Z,814,5,ok,ok,nan
15,Joey Fatone,Joey Fatone,1202691,2012-09-17T00:00:00Z,951.0,2012-11-28T00:00:00Z,975,24,ok,ok,nan
15,Kelly Monaco,Kelly Monaco,719429,2012-09-17T00:00:00Z,891.0,2012-11-28T00:00:00Z,933,42,ok,ok,nan
15,Kirstie Alley,Kirstie Alley,327664,2012-09-17T00:00:00Z,1656.0,2012-11-28T00:00:00Z,1696,40,ok,ok,nan
15,Melissa Rycroft,Melissa Rycroft,21876113,2012-09-17T00:00:00Z,509.0,2012-11-28T00:00:00Z,526,17,ok,ok,nan
15,Pamela Anderson,Pamela Anderson,23035,2012-09-17T00:00:00Z,5730.0,2012-11-28T00:00:00Z,5788,58,ok,ok,nan
15,Sabrina Bryan,Sabrina Bryan,3028912,2012-09-17T00:00:00Z,1982.0,2012-11-28T00:00:00Z,2040,58,ok,ok,nan
15,Shawn Johnson,Shawn Johnson East,19084452,2012-09-17T00:00:00Z,1859.0,2012-11-28T00:00:00Z,1904,45,ok,ok,nan
16,Alexandra Raisman,Aly Raisman,28138758,2013-03-11T00:00:00Z,664.0,2013-05-22T00:00:00Z,779,115,ok,ok,nan
16,Andy Dick,Andy Dick,641959,2013-03-11T00:00:00Z,2345.0,2013-05-22T00:00:00Z,2354,9,ok,ok,nan
16,D. L. Hughley,D. L. Hughley,524989,2013-03-11T00:00:00Z,547.0,2013-05-22T00:00:00Z,558,11,ok,ok,nan
16,Dorothy Hamill,Dorothy Hamill,434988,2013-03-11T00:00:00Z,389.0,2013-05-22T00:00:00Z,398,9,ok,ok,nan
16,Ingo Rademacher,Ingo Rademacher,3693103,2013-03-11T00:00:00Z,218.0,2013-05-22T00:00:00Z,235,17,ok,ok,nan
16,Jacoby Jones,Jacoby Jones,10957791,2013-03-11T00:00:00Z,339.0,2013-05-22T00:00:00Z,394,55,ok,ok,nan
16,Kellie Pickler,Kellie Pickler,3859453,2013-03-11T00:00:00Z,3238.0,2013-05-22T00:00:00Z,3407,169,ok,ok,nan
16,Lisa Vanderpump,Lisa Vanderpump,38789274,2013-03-11T00:00:00Z,0.0,2013-05-22T00:00:00Z,55,55,ok,ok,nan
16,Sean Lowe,Sean Lowe,43578506,2013-03-11T00:00:00Z,nan,2013-05-22T00:00:00Z,0,,disambiguation,ok,Page is a disambiguation page (pageprops.disambiguation)
16,Victor Ortiz,Victor Ortiz,13675852,2013-03-11T00:00:00Z,884.0,2013-05-22T00:00:00Z,942,58,ok,ok,nan
16,Wynonna Judd,Wynonna Judd,782522,2013-03-11T00:00:00Z,698.0,2013-05-22T00:00:00Z,716,18,ok,ok,nan
16,Zendaya,Zendaya,28753159,2013-03-11T00:00:00Z,1585.0,2013-05-22T00:00:00Z,1651,66,ok,ok,nan
17,Amber Riley,Amber Riley,24189535,2013-09-09T00:00:00Z,650.0,2013-11-27T00:00:00Z,709,59,ok,ok,nan
