season,week,regime,n_active,k_elim,has_elim,share_entropy,share_entropy_norm,share_hhi,status,hit_set,top1,elim_rank,margin
15,10,percent,3,0,0,0.9330371963383307,0.8492870560090747,0.45254339514602615,ok,1,,,
16,1,percent,12,0,0,2.292744234350034,0.9226681551782395,0.1149576746471592,ok,1,,,
16,2,percent,12,1,1,2.2859084559331064,0.9199172355742734,0.11596026079065543,ok,1,1.0,1.0,0.028491311053625915
16,3,percent,11,1,1,2.2225038074656696,0.9268560777769008,0.12246584527018338,ok,1,1.0,1.0,0.021307298384559845
16,4,percent,10,1,1,2.139764639440209,0.9292879754805838,0.1320002270602852,ok,1,1.0,1.0,0.03530678797248654
16,5,percent,9,1,1,2.03841494695965,0.9277226224325688,0.1481713666874756,ok,1,1.0,1.0,1.0000000000287557e-06
16,6,percent,8,1,1,1.912058079509104,0.9195055697331533,0.1683326280111907,ok,1,1.0,1.0,0.04861642625674584
16,7,percent,7,1,1,1.7720181538027806,0.9106371918883549,0.19786502416384263,ok,1,1.0,1.0,0.021237370467405592
16,8,percent,6,1,1,1.6263414894728525,0.9076784676759824,0.2271644797223424,ok,1,1.0,1.0,0.07126144324808437
16,9,percent,5,1,1,1.4888542474540045,0.925077156410634,0.25733199851949345,ok,1,1.0,1.0,1.0000000000842668e-06
16,10,percent,4,1,1,1.3621567756107098,0.9825884125434358,0.262982949844135,ok,1,1.0,1.0,9.999999999732445e-07
17,1,percent,12,0,0,2.216037864153776,0.8917992409665921,0.14295814704575802,ok,1,,,
17,2,percent,12,1,1,2.2160722104504917,0.8918130629331914,0.14312265944828037,ok,1,1.0,1.0,0.007208202000916514
17,3,percent,11,1,1,2.1543360123324624,0.8984278991543814,0.1489337436093132,ok,1,1.0,1.0,9.999999999732445e-07
17,4,percent,10,1,1,2.0680976251233205,0.8981633866282779,0.1589938088538321,ok,1,1.0,1.0,1.0000000000287557e-06
17,5,percent,9,1,1,1.9786529035421423,0.9005237443415729,0.16649963152858852,ok,1,1.0,1.0,0.009191484844799536
17,6,percent,8,0,0,1.896428527139689,0.9119893438349301,0.17350144463633313,ok,1,,,
17,7,percent,8,1,1,1.883017368902109,0.905539940007619,0.17419276946108675,ok,1,1.0,1.0,0.017749085862792557
17,8,percent,7,1,1,1.78892365576896,0.9193249013257031,0.18390095601167944,ok,1,1.0,1.0,0.006306559794608646
17,9,percent,6,1,1,1.669559844450938,0.931799090851316,0.2010877935351618,ok,1,1.0,1.0,0.03638975515314158
17,10,percent,5,1,1,1.5326782916959978,0.9523065660718705,0.22402394687290403,ok,1,1.0,1.0,0.1673852307808828
17,11,percent,4,1,1,1.362934270584718,0.9831492566150947,0.2606330487183702,ok,1,1.0,1.0,0.14755785706936542
18,1,percent,12,0,0,2.26375311080104,0.9110012687978326,0.12878697485323196,ok,1,,,
18,2,percent,11,2,1,2.194371433448735,0.9151239665641773,0.1387004908835374,ok,0,0.0,4.0,0.0001355672067550051
18,3,percent,9,0,0,1.9750711930409515,0.8988936376432702,0.1747541399769521,ok,1,,,
18,4,percent,9,0,0,1.9381571998976304,0.8820933553580278,0.18496420360736454,ok,1,,,
18,5,percent,9,1,1,1.921682822454907,0.8745955430667162,0.1887051155918005,ok,1,1.0,1.0,0.026526401292434693
18,6,percent,8,1,1,1.8387776037377122,0.8842651100700297,0.19715969915823656,ok,1,1.0,1.0,9.99999999945489e-07
18,7,percent,7,1,1,1.7528875106584791,0.9008059860880312,0.19874805629576414,ok,1,1.0,1.0,9.999999999177334e-07
18,8,percent,6,1,1,1.655586982226932,0.9240006879607617,0.20405039477773218,ok,1,1.0,1.0,0.040272848223651764
18,9,percent,5,1,1,1.52314616910011,0.9463839253025403,0.22674519650761815,ok,1,1.0,1.0,0.15224695667648375
18,10,percent,4,1,1,1.3850725228967184,0.9991186300273305,0.2506011518685403,ok,1,1.0,1.0,1.000000000139778e-06
19,1,percent,13,1,1,2.306195122243276,0.8991191641014141,0.12515689747258232,ok,1,1.0,1.0,9.99999999945489e-07
19,2,percent,12,1,1,2.241734842674225,0.9021404658663852,0.1304355356997647,ok,1,1.0,1.0,0.0038565969115570004
19,3,percent,11,1,1,2.1692244705922703,0.9046368685070891,0.13900962082202425,ok,1,1.0,1.0,0.02359082895763362
19,4,percent,10,1,1,2.0847339195126966,0.905388437480902,0.15010256532000496,ok,1,1.0,1.0,1.0000000000981446e-06
19,5,percent,9,0,0,2.006566822471714,0.9132279163308618,0.15846703946789475,ok,1,,,
19,6,percent,9,1,1,1.9935879550004234,0.9073209791860818,0.16026037546051466,ok,1,1.0,1.0,0.003967056610165887
19,7,percent,8,1,1,1.9145361647854398,0.9206972768461765,0.16841832072863586,ok,1,1.0,1.0,0.03004658952528058
19,8,percent,7,1,1,1.8236011178673417,0.9371455916156513,0.1776233839297331,ok,1,1.0,1.0,1.000000000001e-06
19,9,percent,6,1,1,1.67402318575766,0.9342901290645226,0.20245677781307286,ok,1,1.0,1.0,0.10837959978804956
19,10,percent,5,1,1,1.4413560566175931,0.8955648711155925,0.28205113245887325,ok,1,1.0,1.0,1.0000000000287557e-06
19,11,percent,4,1,1,1.170333962533508,0.844217501965511,0.3774063114034164,ok,1,1.0,1.0,9.999999999177334e-07
20,1,percent,12,0,0,2.2580979891091673,0.9087254804126411,0.12461638392231977,ok,1,,,
20,2,percent,12,1,1,2.2481239768432197,0.9047116426023563,0.12674971010581626,ok,1,1.0,1.0,0.012883750255996446
20,3,percent,11,1,1,2.1738319507183843,0.9065583369625222,0.13674137471921893,ok,1,1.0,1.0,1.0000000000842668e-06
