season,week,celebrity_name,s_share_mean,s_share_std,s_share_p10,s_share_p50,s_share_p90
18,8,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,8,Charlie White,0.11860426244541894,0.014130764293814137,0.11003116584759856,0.11069640723837573,0.13350364320887387
18,8,Amy Purdy,0.1625322469526239,0.013727123343094396,0.14758709352691007,0.16320764552658418,0.17693708151916948
18,8,Meryl Davis,0.1878437121259026,0.02306034923665085,0.16404898800377166,0.1878064976105743,0.21166820786029608
18,8,Drew Carey,0.0,0.0,0.0,0.0,0.0
18,8,Cody Simpson,0.0,0.0,0.0,0.0,0.0
18,8,NeNe Leakes,0.13953120294949226,0.026147320810616454,0.11227419868392627,0.1382286137408958,0.16783027858193542
18,9,Billy Dee Williams,0.0,0.0,0.0,0.0,0.0
18,9,Danica McKellar,0.13988365060667807,0.01657755161773268,0.1226638164588867,0.13899542677199445,0.15781406382221633
18,9,James Maslow,0.13759625035911843,0.004654663994743189,0.13437661337195247,0.13521976462365043,0.14271707593465877
18,9,Candace Cameron Bure,0.1825503031610206,0.009169931888353727,0.175892643358231,0.17816275161482698,0.19271800420076515
18,9,Sean Avery,0.0,0.0,0.0,0.0,0.0
18,9,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,9,Charlie White,0.1418756417172341,0.014989476271630617,0.13138463341337525,0.13435438306201924,0.15838365694526485
18,9,Amy Purdy,0.1862239583569095,0.012466147421502118,0.17231748835380095,0.1877448987979299,0.19891367600720172
18,9,Meryl Davis,0.21187019579903932,0.022536779159358512,0.1890537191939357,0.21090546267233268,0.23545845890550815
18,9,Drew Carey,0.0,0.0,0.0,0.0,0.0
18,9,Cody Simpson,0.0,0.0,0.0,0.0,0.0
18,9,NeNe Leakes,0.0,0.0,0.0,0.0,0.0
18,10,Billy Dee Williams,0.0,0.0,0.0,0.0,0.0
18,10,Danica McKellar,0.0,0.0,0.0,0.0,0.0
18,10,James Maslow,0.16563759120541474,0.004691398055921968,0.16152881605350516,0.16407466005553917,0.17099671127722477
18,10,Candace Cameron Bure,0.21033410745195996,0.010751037653771672,0.20323167399726277,0.204858060089453,0.22181737879666277
18,10,Sean Avery,0.0,0.0,0.0,0.0,0.0
18,10,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,10,Charlie White,0.16878824098122513,0.027883700954781543,0.1429069239328585,0.161398259591164,0.20058154314164067
18,10,Amy Purdy,0.21465321636851248,0.013240591725905807,0.19982866410940545,0.21637336140477237,0.22810165259861157
18,10,Meryl Davis,0.24058684399288768,0.023741909760104703,0.2168526938196653,0.23944853734876614,0.26523163948140727
18,10,Drew Carey,0.0,0.0,0.0,0.0,0.0
18,10,Cody Simpson,0.0,0.0,0.0,0.0,0.0
18,10,NeNe Leakes,0.0,0.0,0.0,0.0,0.0
17,1,Valerie Harper,0.07361492177860583,0.016573252242192003,0.057366530665709674,0.07084084323291681,0.0920825757280532
17,1,Brant Daugherty,0.08291185541434638,0.015172416089518186,0.06736514262459933,0.08245405026855696,0.09882481232072496
17,1,Elizabeth Berkley Lauren,0.08361586183727876,0.007648634889490947,0.07675805487085106,0.08183952178076295,0.09189474084891909
17,1,Leah Remini,0.0869865969478341,0.015944133326116546,0.07312426339584582,0.08284930921732295,0.1041587606842313
17,1,Corbin Bleu,0.08918748031886797,0.02344300450883834,0.06516347840719397,0.08687196366408591,0.11506389555436763
17,1,Amber Riley,0.12213922777066613,0.013790029809605505,0.10721949602314104,0.12311487442580202,0.13627844219408253
17,1,Keyshawn Johnson,0.06154846103986481,0.01780692991762008,0.04195116349448961,0.06729145348983018,0.07655136462526774
