season,celebrity_name,wiki_title,pop_score,pop_score_end,pop_score_start,pop_score_delta,source,window_start,window_end
19,Tommy Chong,Tommy Chong,1259,1259,1237,22,wikipedia_edits_cumulative,2014-09-01,2014-11-10
20,Charlotte McKinney,Charlotte McKinney,126,126,1,125,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Chris Soules,Chris Soules,30,30,0,30,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Michael Sam,Michael Sam,518,518,506,12,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Nastia Liukin,Nastia Liukin,1797,1797,1770,27,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Noah Galloway,Noah Galloway,115,115,0,115,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Patti LaBelle,Patti LaBelle,2326,2326,2293,33,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Redfoo,Redfoo,868,868,784,84,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Riker Lynch,Riker Lynch,546,546,506,40,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Robert Herjavec,Robert Herjavec,398,398,372,26,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Rumer Willis,Rumer Willis,793,793,766,27,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Suzanne Somers,Suzanne Somers,864,864,853,11,wikipedia_edits_cumulative,2015-03-01,2015-05-03
20,Willow Shields,Willow Shields,493,493,455,38,wikipedia_edits_cumulative,2015-03-01,2015-05-03
21,Alek Skarlatos,Alek Skarlatos,135,135,0,135,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Alexa PenaVega,Alexa PenaVega,2124,2124,2069,55,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Andy Grammer,Andy Grammer,777,777,727,50,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Bindi Irwin,Bindi Irwin,2077,2077,1996,81,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Carlos PenaVega,Carlos PenaVega,1921,1921,1875,46,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Chaka Khan,Chaka Khan,1764,1764,1735,29,wikipedia_edits_cumulative,2015-09-01,2015-11-10
21,Gary Busey,Gary Busey,2829,2829,2792,37,wikipedia_edits_cumulative,2015-09-01,2015-11-10
