model,fold,season,n_items,nll,nll_per_item,spearman,kendall_tau,top1,top3_overlap
baseline_plus_country,2,20,12,19.470447915524165,1.6225373262936804,0.4615384615384616,0.30303030303030304,0,1
baseline_plus_country,2,24,12,18.387323794721365,1.532276982893447,0.6993006993006995,0.5454545454545454,0,1
baseline_plus_country,2,30,15,26.04024901515352,1.7360166010102347,0.6107142857142855,0.4285714285714286,0,1
baseline_plus_country,2,34,14,24.111030763386896,1.722216483099064,0.541254452937086,0.4198959112834707,1,1
baseline_plus_country,3,2,10,15.333855610230657,1.5333855610230658,0.07294866524160774,0.08989331499509895,0,1
baseline_plus_country,3,10,11,17.199586471475968,1.563598770134179,0.3727272727272727,0.3090909090909091,0,1
baseline_plus_country,3,15,13,21.954485404495575,1.6888065695765826,0.26373626373626374,0.15384615384615385,0,1
baseline_plus_country,3,17,12,19.186001219354974,1.5988334349462479,0.5384615384615385,0.36363636363636365,0,1
baseline_plus_country,3,18,12,19.426172079812837,1.6188476733177364,0.2307692307692308,0.18181818181818182,0,0
baseline_plus_country,3,26,10,15.160222978566647,1.5160222978566646,0.054545454545454536,0.06666666666666667,0,0
baseline_plus_country,3,31,16,29.98639651366682,1.8741497821041762,0.3323529411764706,0.2333333333333333,0,1
baseline_plus_country,4,5,12,19.51319860573783,1.626099883811486,0.3216783216783217,0.24242424242424243,0,1
baseline_plus_country,4,6,12,19.824332721224344,1.6520277267686954,0.4755244755244756,0.30303030303030304,0,1
baseline_plus_country,4,12,11,20.29728972226733,1.8452081565697573,-0.07272727272727274,-0.01818181818181818,0,1
baseline_plus_country,4,19,13,24.15269144602985,1.857899342002296,0.0879120879120879,0.02564102564102564,0,1
baseline_plus_country,4,25,13,20.830178874222295,1.6023214518632534,0.639120882461334,0.49354811679282456,0,1
baseline_plus_country,4,28,12,18.458062075563568,1.5381718396302972,0.6223776223776225,0.45454545454545453,1,1
baseline_plus_country,4,29,15,26.63620309194632,1.7757468727964214,0.5165328246658887,0.38277950117547643,0,1
baseline_plus_country,5,8,13,21.712088852619683,1.6701606809707448,0.6153846153846154,0.48717948717948717,1,1
baseline_plus_country,5,16,12,18.09677257504701,1.5080643812539174,0.7902097902097903,0.6060606060606061,0,1
baseline_plus_country,5,22,12,19.88901934141931,1.6574182784516092,0.10507897025075193,0.07633810206905742,0,1
baseline_plus_country,5,23,13,22.57084997951595,1.7362192291935346,0.5329670329670331,0.48717948717948717,0,1
baseline_plus_country,5,32,14,24.149571181445747,1.7249693701032676,0.43296703296703293,0.27472527472527475,1,1
baseline_plus_country,5,33,13,21.880360888390147,1.683104683722319,0.43801819099720735,0.33769081675298523,0,1
full_minus_age,1,3,11,16.717628436935048,1.5197844033577317,0.7181818181818183,0.5272727272727272,1,1
full_minus_age,1,4,11,16.983511478555116,1.543955588959556,0.20909090909090908,0.16363636363636364,0,1
full_minus_age,1,7,13,21.13624545703942,1.6258650351568784,0.6208791208791209,0.48717948717948717,1,1
full_minus_age,1,11,12,19.713274895533864,1.6427729079611553,0.5034965034965035,0.36363636363636365,1,1
